mpi,mK,meta,fphi,mN,mL,mS,mX
134.9443760715732, 490.3927973471554, 549.2423899156784, 106.73693198498853, 948.231516499438,1098.768548799289,1171.9171129598055,1285.775379840311
135.9443760715732, 490.54710341467654, 549.3377749583428, 106.76129505382225, 948.8174615866703,1099.231751038649,1172.3407506229323,1286.0961282327908
136.9443760715732, 490.70256279755046, 549.4339904853036, 106.78572687692855, 949.4064671952767,1099.6974810486163,1172.7666461623298,1286.4187370785166
137.9443760715732, 490.8591754622257, 549.5310384916521, 106.81022655238183, 949.9985243207677,1100.1657324930216,1173.194793597676,1286.743202890937
138.9443760715732, 491.0169413672361, 549.6289209685128, 106.83479318268144, 950.5936240915102,1100.6364991123821,1173.6251870250653,1287.069522203867
139.9443760715732, 491.175860463143, 549.7276399028635, 106.85942587467743, 951.1917577669599,1101.1097747226754,1174.0578206157616,1287.3976915707876
140.9443760715732, 491.3359326924784, 549.8271972773557, 106.88412373949838, 951.7929167358983,1101.5855532141136,1174.4926886149528,1287.727707564154
141.9443760715732, 491.49715798968776, 549.9275950701357, 106.90888589248073, 952.3970925146782,1102.063828549932,1174.92978534052,1288.059566774709
142.9443760715732, 491.65953628107394, 550.0288352546668, 106.93371145309993, 953.0042767454746,1102.5445947651808,1175.3691051818091,1288.393265810814
143.9443760715732, 491.8230674847417, 550.1309197995516, 106.9585995449036, 953.614461194543,1103.0278459655274,1175.8106425984129,1288.728801297777
144.9443760715732, 491.9877515105425, 550.2338506683554, 106.983549295446, 954.2276377504855,1103.5135763260653,1176.2543921189613,1289.0661698771999
145.9443760715732, 492.1535882600204, 550.3376298194295, 107.00855983622442, 954.8437984225209,1104.0017800901282,1176.7003483399162,1289.405368206325
146.9443760715732, 492.3205776263578, 550.4422592057358, 107.03363030261691, 955.4629353387672,1104.4924515681191,1177.1485059243782,1289.746392957397
147.9443760715732, 492.4887194943222, 550.5477407746723, 107.05875983382191, 956.0850407445255,1104.985585136336,1177.5988596008979,1290.089240817028
148.9443760715732, 492.6580137402139, 550.6540764678982, 107.08394757279893, 956.7101070005749,1105.4811752358155,1178.0514041622946,1290.4339084855715
149.9443760715732, 492.82846023181327, 550.7612682211602, 107.10919266621113, 957.3381265814724,1105.979216371176,1178.506134464485,1290.7803926765055
150.9443760715732, 493.00005882832954, 550.8693179641203, 107.13449426436908, 957.9690920738617,1106.4797031094722,1178.9630454253156,1291.1286901158194
151.9443760715732, 493.17280938035, 550.9782276201829, 107.159851521176, 958.6029961747901,1106.9826300790573,1179.4221320234055,1291.4787975414133
152.9443760715732, 493.3467117297888, 551.0879991063229, 107.18526359407427, 959.2398316900295,1107.4879919684481,1179.8833892969958,1291.8307117024967
153.9443760715732, 493.5217657098384, 551.1986343329152, 107.21072964399349, 959.8795915324079,1107.995783525204,1180.346812342804,1292.1844293590048
154.9443760715732, 493.6979711449188, 551.3101352035638, 107.23624883529953, 960.522268720147,1108.5059995548054,1180.812396314889,1292.5399472810084
155.9443760715732, 493.8753278506305, 551.4225036149334, 107.26182033574514, 961.1678563752092,1109.0186349195458,1181.280136423521,1292.8972622481447
156.9443760715732, 494.0538356337049, 551.5357414565784, 107.28744331642156, 961.8163477216506,1109.5336845374281,1181.7500279340593,1293.2563710490401
157.9443760715732, 494.2334942919582, 551.6498506107766, 107.31311695171136, 962.4677360839806,1110.051143381067,1182.2220661658366,1293.6172704807536
158.9443760715732, 494.414303614243, 551.7648329523606, 107.33884041924266, 963.1220148855339,1110.5710064765995,1182.6962464910507,1293.9799573482114
159.9443760715732, 494.59626338040346, 551.8806903485511, 107.36461289984426, 963.7791776468443,1111.093268902604,1183.1725643336647,1294.344428463664
160.9443760715732, 494.7793733612288, 551.9974246587904, 107.39043357750192, 964.4392179840311,1111.6179257890228,1183.65101516831,1294.7106806461338
161.9443760715732, 494.96363331840814, 552.1150377345781, 107.41630163931586, 965.1021296071926,1112.144972316095,1184.1315945192023,1295.0787107208798
162.9443760715732, 495.1490430044862, 552.2335314193049, 107.4422162754592, 965.7679063188054,1112.6744037132935,1184.6142979590588,1295.4485155188627
163.9443760715732, 495.33560216281916, 552.3529075480897, 107.4681766791374, 966.4365420121333,1113.2062152582694,1185.0991211080238,1295.8200918762145
164.9443760715732, 495.5233105275315, 552.4731679476156, 107.49418204654893, 967.108030669645,1113.7404022758074,1185.5860596326072,1296.193436633721
165.9443760715732, 495.7121678234733, 552.5943144359679, 107.52023157684671, 967.7823663614394,1114.2769601367797,1186.075109244619,1296.5685466362997
166.9443760715732, 495.90217376617755, 552.7163488224725, 107.54632447210064, 968.4595432436779,1114.8158842571147,1186.566265700119,1296.945418732491
167.9443760715732, 496.09332806181936, 552.8392729075337, 107.57245993726087, 969.1395555570273,1115.3571700967673,1187.059524798371,1297.3240497739507
168.9443760715732, 496.2856304071744, 552.9630884824754, 107.59863718012241, 969.8223976251081,1115.9008131587002,1187.5548823808026,1297.7044366149503
169.9443760715732, 496.47908048957885, 553.0877973293815, 107.62485541129018, 970.508063852955,1116.446808987866,1188.0523343299733,1298.0865761118762
170.9443760715732, 496.6736779868895, 553.2134012209357, 107.65111384414526, 971.1965487254815,1116.9951531702025,1188.5518765685476,1298.4704651227466
171.9443760715732, 496.86942256744493, 553.339901920265, 107.67741169481185, 971.8878468059572,1117.5458413316312,1189.053505058279,1298.8561005067174
172.9443760715732, 497.0663138900263, 553.4673011807829, 107.70374818212507, 972.5819527344884,1118.0988691370615,1189.5572157989916,1299.2434791236042
173.9443760715732, 497.2643516038202, 553.5956007460318, 107.73012252759975, 973.2788612265136,1118.6542322894043,1190.0630048275823,1299.632597833409
174.9443760715732, 497.4635353483811, 553.7248023495285, 107.75653395539977, 973.978567071302,1119.211926528591,1190.5708682170152,1300.023453495842
175.9443760715732, 497.66386475359405, 553.8549077146093, 107.78298169230845, 974.6810651304644,1119.7719476305979,1191.0808020753327,1300.4160429698586
176.9443760715732, 497.8653394396396, 553.985918554276, 107.80946496769944, 975.3863503364693,1120.3342914064792,1191.592802544669,1300.8103631131967
177.9443760715732, 498.0679590169576, 554.1178365710433, 107.83598301350867, 976.0944176911717,1120.8989537014063,1192.1068658002719,1301.2064107819174
178.9443760715732, 498.27172308621283, 554.2506634567864, 107.86253506420674, 976.8052622643465,1121.4659303937115,1192.622988049528,1301.6041828299517
179.9443760715732, 498.47663123826004, 554.3844008925895, 107.88912035677227, 977.5188791922344,1122.035217393941,1193.141165531,1302.0036761086512
180.9443760715732, 498.68268305411146, 554.5190505485964, 107.91573813066577, 978.2352636760929,1122.6068106439125,1193.6613945134648,1302.404887466344
