mπ,mK,mη,fπ,fK,fη,fϕ,mN,mL,mS,mX
134.61669872,490.2964208,549.16375593,91.4452995,109.90674252,118.83252916,106.72819039,948.02737502,1098.57851475,1171.72515907,1285.59852713
135.61669872,490.20515813,549.00564212,91.50108124,109.92107915,118.82308991,106.74841677,948.54411217,1098.83427363,1171.86252341,1285.5344851
136.61669872,490.1131452,548.84624852,91.55705663,109.93542959,118.81356986,106.76868536,949.06333216,1099.09084058,1171.99980223,1285.46913136
137.61669872,490.02038041,548.68557232,91.61322406,109.94979304,118.80396875,106.78899528,949.5850254,1099.34820666,1172.13698624,1285.4024574
138.61669872,489.92686217,548.52361068,91.66958197,109.96416865,118.79428635,106.80934566,950.10918243,1099.606363,1172.27406618,1285.33445478
139.61669872,489.83258888,548.36036071,91.72612878,109.97855562,118.78452242,106.82973561,950.63579398,1099.86530084,1172.41103293,1285.26511505
140.61669872,489.73755889,548.1958195,91.78286293,109.99295312,118.7746767,106.85016425,951.16485089,1100.12501151,1172.54787742,1285.1944298
141.61669872,489.64177058,548.02998411,91.83978286,110.00736033,118.76474895,106.87063071,951.69634416,1100.38548641,1172.68459067,1285.12239064
142.61669872,489.54522231,547.86285155,91.89688705,110.02177643,118.75473892,106.89113413,952.23026495,1100.64671704,1172.8211638,1285.0489892
143.61669872,489.44791241,547.69441882,91.95417394,110.03620061,118.74464635,106.91167363,952.76660454,1100.90869498,1172.957588,1284.97421714
144.61669872,489.34983921,547.52468286,92.01164203,110.05063206,118.73447099,106.93224836,953.30535438,1101.17141188,1173.09385454,1284.89806615
145.61669872,489.25100104,547.35364059,92.06928978,110.06506996,118.72421257,106.95285744,953.84650604,1101.43485951,1173.22995477,1284.82052793
146.61669872,489.15139618,547.1812889,92.12711571,110.07951349,118.71387085,106.97350002,954.39005123,1101.69902968,1173.36588013,1284.74159422
147.61669872,489.05102295,547.00762463,92.18511831,110.09396185,118.70344556,106.99417524,954.93598181,1101.96391431,1173.50162212,1284.66125677
148.61669872,488.94987963,546.8326446,92.24329608,110.10841423,118.69293644,107.01488225,955.48428977,1102.22950538,1173.63717233,1284.57950734
149.61669872,488.84796447,546.6563456,92.30164755,110.12286981,118.68234322,107.03562019,956.03496724,1102.49579497,1173.77252243,1284.49633775
150.61669872,488.74527574,546.47872435,92.36017124,110.13732779,118.67166563,107.05638822,956.58800647,1102.76277521,1173.90766416,1284.4117398
151.61669872,488.64181168,546.29977758,92.4188657,110.15178735,118.6609034,107.07718548,957.14339986,1103.03043834,1174.04258933,1284.32570534
152.61669872,488.53757052,546.11950195,92.47772945,110.1662477,118.65005627,107.09801114,957.70113991,1103.29877665,1174.17728983,1284.23822621
153.61669872,488.4325505,545.9378941,92.53676104,110.18070802,118.63912396,107.11886434,958.26121929,1103.56778252,1174.31175762,1284.14929431
154.61669872,488.3267498,545.75495062,92.59595904,110.1951675,118.62810619,107.13974424,958.82363077,1103.8374484,1174.44598472,1284.05890154
155.61669872,488.22016663,545.57066809,92.65532201,110.20962534,118.61700268,107.16065001,959.38836725,1104.1077668,1174.57996325,1283.9670398
156.61669872,488.11279917,545.38504302,92.71484852,110.22408074,118.60581316,107.18158081,959.95542175,1104.37873033,1174.71368537,1283.87370105
157.61669872,488.00464559,545.19807191,92.77453714,110.23853289,118.59453734,107.20253579,960.52478742,1104.65033164,1174.84714332,1283.77887723
158.61669872,487.89570405,545.0097512,92.83438647,110.25298098,118.58317494,107.22351413,961.09645752,1104.92256347,1174.98032941,1283.68256032
159.61669872,487.78597269,544.82007731,92.89439508,110.26742421,118.57172567,107.24451498,961.67042546,1105.19541863,1175.11323602,1283.58474232
160.61669872,487.67544965,544.62904662,92.95456159,110.28186177,118.56018924,107.26553753,962.24668472,1105.46888999,1175.24585558,1283.48541524
161.61669872,487.56413304,544.43665546,93.01488459,110.29629285,118.54856536,107.28658093,962.82522894,1105.7429705,1175.37818061,1283.3845711
162.61669872,487.45202096,544.24290013,93.07536269,110.31071667,118.53685373,107.30764436,963.40605185,1106.01765315,1175.51020366,1283.28220196
163.61669872,487.33911151,544.04777689,93.13599451,110.3251324,118.52505407,107.32872699,963.98914729,1106.29293103,1175.64191738,1283.17829987
164.61669872,487.22540278,543.85128197,93.19677868,110.33953924,118.51316607,107.349828,964.57450922,1106.56879726,1175.77331445,1283.07285692
165.61669872,487.11089282,543.65341153,93.25771382,110.35393639,118.50118944,107.37094655,965.16213173,1106.84524507,1175.90438764,1282.96586519
166.61669872,486.99557969,543.45416173,93.31879857,110.36832304,118.48912387,107.39208183,965.75200898,1107.1222677,1176.03512975,1282.85731682
